n,m,p,mode,rep,seed,T_stop,converged,cycle_len,phi_0,phi_f,k_components,winner_flip,winner_item,consensus_frac,delta_FR
200,15,0.5,async,50,1676789992,849,1,0,744334,0,200,0,1,1.0,71.87
50,5,0.1,sync,93,555047747,18,0,2,914,94,16,1,0,1.0,7.48
100,5,0.05,sync,61,660226141,16,1,0,1802,0,100,0,1,1.0,7.84
20,8,0.05,async,114,1175855278,106,1,0,390,66,10,1,0,0.55,14.9
200,8,0.5,sync,98,150805936,4,1,0,206426,0,200,1,0,1.0,19.97
150,5,0.7,sync,116,491990258,3,1,0,63336,0,150,0,2,1.0,7.533333333333333
20,12,0.5,async,38,86056081,90,1,0,3954,0,20,1,1,1.0,39.5
150,8,0.05,async,37,762510087,1454,1,0,11486,0,150,1,1,1.0,20.4
150,15,0.3,sync,117,1067831230,6,1,0,249032,0,150,0,2,1.0,70.44
200,12,0.1,sync,99,1217437395,8,1,0,92502,0,200,1,4,1.0,45.21
150,15,0.7,async,94,1790474820,882,1,0,586748,0,150,0,10,1.0,70.86666666666666
200,5,0.3,sync,85,1311751657,5,1,0,47334,0,200,0,4,1.0,7.6
100,8,0.5,async,23,2143259508,620,1,0,52282,0,100,0,6,1.0,19.84
100,15,0.05,async,117,1161415460,2716,1,0,16464,534,11,1,0,1.0,71.08
150,8,0.05,sync,79,1609645078,25,1,0,11422,0,150,0,0,1.0,19.72
200,15,0.7,async,54,1501595786,826,1,0,1039876,0,200,1,10,1.0,70.91
150,8,0.2,sync,70,766019856,5,1,0,47034,0,150,0,4,1.0,19.826666666666668
100,10,0.2,async,117,593302502,668,1,0,32304,0,100,0,6,1.0,30.78
100,15,0.1,async,65,572480455,1158,1,0,36502,0,100,1,0,1.0,70.88
50,12,0.1,sync,33,1369385104,58,0,2,5378,390,8,1,5,0.66,43.32
100,12,0.7,async,118,1541891384,451,1,0,163082,0,100,0,10,1.0,43.66
150,8,0.2,async,35,1251589083,878,1,0,45880,0,150,0,1,1.0,20.026666666666667
100,5,0.05,async,23,239470500,1627,1,0,1870,236,35,1,0,1.0,7.34
200,15,0.1,async,20,633621309,1298,1,0,149380,0,200,1,7,1.0,71.94
150,12,0.7,async,26,1802794209,1016,1,0,371994,0,150,1,3,1.0,45.8
150,10,0.05,sync,45,1547667901,15,1,0,18294,0,150,0,0,1.0,32.24
150,8,0.5,sync,31,167477031,4,1,0,118082,0,150,1,1,1.0,19.85333333333333
20,15,0.7,async,118,1888827692,74,1,0,10360,0,20,0,1,1.0,64.2
50,8,0.1,async,29,239195518,393,1,0,2504,310,2,1,0,1.0,19.36
150,12,0.3,async,48,119251862,916,1,0,160408,0,150,0,11,1.0,45.49333333333333
150,15,0.3,async,112,1728697884,729,1,0,246918,0,150,1,4,1.0,72.4
150,12,0.3,sync,16,2146011972,5,1,0,159138,0,150,1,4,1.0,45.373333333333335
20,5,0.1,sync,18,270341837,8,0,2,172,150,1,0,2,0.5,5.7
150,5,0.05,async,107,1580813477,1795,1,0,4530,0,150,0,0,1.0,7.826666666666667
100,5,0.5,sync,77,164175308,4,1,0,20420,0,100,0,4,1.0,7.48
50,5,0.1,async,31,1771644415,645,1,0,874,90,26,1,1,0.64,7.4
150,15,0.3,sync,77,800988365,5,1,0,251290,0,150,1,0,1.0,71.42666666666666
20,12,0.5,sync,87,1460574440,6,1,0,4726,0,20,0,1,1.0,42.2
100,12,0.1,async,106,1654715347,921,1,0,25392,0,100,0,9,1.0,43.06
50,12,0.5,sync,41,942531412,4,1,0,29524,0,50,0,8,1.0,41.64
150,10,0.5,sync,64,294958437,3,1,0,186418,0,150,0,9,1.0,31.01333333333333
150,12,0.5,async,99,263186479,658,1,0,266558,0,150,1,0,1.0,46.08
100,12,0.5,sync,91,504869509,4,1,0,119564,0,100,0,1,1.0,44.06
50,12,0.5,sync,8,2008392765,5,1,0,31490,0,50,0,6,1.0,44.2
100,10,0.05,sync,22,275652034,38,0,2,8268,212,34,1,1,0.98,31.16
100,12,0.2,sync,67,1993976260,6,1,0,46058,0,100,0,0,1.0,45.5
100,12,0.2,async,117,911520288,631,1,0,47818,0,100,1,0,1.0,44.26
50,8,0.5,sync,42,394299083,4,1,0,12828,0,50,1,4,1.0,18.72
100,8,0.7,async,31,1589123802,566,1,0,71724,0,100,0,7,1.0,19.34
150,10,0.1,sync,86,342805284,14,1,0,37818,0,150,1,2,1.0,31.466666666666665
50,5,0.5,async,46,209190592,256,1,0,4596,0,50,0,3,1.0,7.28
150,12,0.5,async,9,1785438959,742,1,0,260372,0,150,0,0,1.0,45.17333333333333
150,8,0.7,async,47,1592898986,734,1,0,163602,0,150,1,2,1.0,19.8
50,10,0.5,async,41,525632149,216,1,0,19894,0,50,0,2,1.0,29.0
100,15,0.5,sync,109,522274816,5,1,0,182324,0,100,0,6,1.0,70.32
100,15,0.7,async,53,703125129,536,1,0,261230,0,100,1,13,1.0,70.14
20,5,0.2,async,63,951746973,101,1,0,262,0,20,1,0,1.0,6.7
200,10,0.3,sync,93,963080021,4,1,0,197096,0,200,0,3,1.0,31.61
150,10,0.2,sync,67,1571796446,8,1,0,72412,0,150,1,8,1.0,32.14666666666667
150,12,0.3,async,64,1924108149,915,1,0,157870,0,150,0,6,1.0,44.946666666666665
20,8,0.2,sync,5,1862756666,11,0,2,656,316,2,1,3,0.55,21.3
100,15,0.05,sync,101,2040227359,27,0,2,16984,500,1,0,0,1.0,73.88
50,10,0.3,sync,21,175730918,5,1,0,12142,0,50,0,0,1.0,30.36
50,15,0.5,async,103,961728166,304,1,0,42030,0,50,0,12,1.0,67.48
50,10,0.5,sync,110,641739699,5,1,0,20482,0,50,0,1,1.0,29.0
50,8,0.5,async,74,1320343471,220,1,0,12648,0,50,1,0,1.0,19.0
20,10,0.3,async,32,2006895206,169,1,0,1880,0,20,1,2,1.0,30.3
50,10,0.1,async,101,913015484,690,1,0,3888,540,3,1,3,1.0,29.6
100,10,0.1,async,71,210767678,930,1,0,15878,0,100,1,7,1.0,31.44
50,5,0.5,async,21,79665884,199,1,0,4992,0,50,1,3,1.0,7.04
