trial_id,n,m,p,seed_used,converged,cycle_length,steps_run,phi_initial,phi_final,phi_normalised_initial,phi_normalised_final,largest_cluster_frac,mean_pair_agreement
0,3,3,0.5,42,1,0,1,2,0,0.2222222222222222,0.0,1.0,1.0
1,3,3,0.5,43,0,2,3,2,4,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.0
2,3,3,0.5,44,1,0,2,10,0,0.7407407407407407,0.0,1.0,1.0
3,3,3,0.5,45,0,2,3,6,4,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.0
4,3,3,0.5,46,0,2,3,6,8,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.0
5,3,3,0.5,47,0,2,3,6,4,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.0
6,3,3,0.5,48,1,0,2,8,0,0.5925925925925926,0.0,1.0,1.0
7,3,3,0.5,49,0,2,3,2,4,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.0
8,3,3,0.5,50,0,2,3,6,8,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.0
9,3,3,0.5,51,0,2,3,2,4,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.0
